Date,Open,High,Low,Close,range,sma_2,sma_5,sma_7,sma_10,sma_20,MACD,MACD_signal,rsi_14,atr_14,upper_bb,lower_bb,Seasonal First Difference
2005-07-01,106.04755434782606,116.65434782608696,95.3975,105.69673913043476,21.256847826086958,106.20633879781421,107.7572111111111,108.78907704654897,110.33330857142857,115.07967272727274,4.613486642295135,5.831341251233925,55.970894850358995,22.268563074352546,175.88878791256292,54.27055754198253,1.6492307692307686
2005-08-01,13.0,14.0,11.25,12.46,2.75,106.20633879781421,107.7572111111111,108.78907704654897,110.33330857142857,115.07967272727274,0.0,0.0,55.970894850358995,22.268563074352546,175.88878791256292,54.27055754198253,1.6492307692307686
2005-09-01,12.58,14.88,12.55,13.42,2.33,12.940000000000001,107.7572111111111,108.78907704654897,110.33330857142857,115.07967272727274,0.07658119658119666,0.015316239316239334,55.970894850358995,22.268563074352546,175.88878791256292,54.27055754198253,1.6492307692307686
2005-10-01,13.48,14.87,12.27,13.3,2.5999999999999996,13.36,107.7572111111111,108.78907704654897,110.33330857142857,115.07967272727274,0.1261353398105527,0.037480059415102004,55.970894850358995,22.268563074352546,175.88878791256292,54.27055754198253,1.6492307692307686
2005-11-01,13.2,14.47,12.4,12.99,2.0700000000000003,13.145,107.7572111111111,108.78907704654897,110.33330857142857,115.07967272727274,0.13879302650237868,0.05774265283255734,55.970894850358995,22.268563074352546,175.88878791256292,54.27055754198253,1.6492307692307686
2005-12-01,13.35,13.88,12.88,13.41,1.0,13.2,13.116,108.78907704654897,110.33330857142857,115.07967272727274,0.18063260409281057,0.08232064308460799,55.970894850358995,22.268563074352546,175.88878791256292,54.27055754198253,1.6492307692307686
2006-01-01,13.49,14.44,13.0,13.71,1.4399999999999995,13.56,13.366,108.78907704654897,110.33330857142857,115.07967272727274,0.235286032642664,0.1129137209962192,55.970894850358995,22.268563074352546,175.88878791256292,54.27055754198253,1.6492307692307686
2006-02-01,13.68,17.16,13.58,15.33,3.58,14.52,13.748,13.517142857142858,110.33330857142857,115.07967272727274,0.4046551173168478,0.17126200026034494,55.970894850358995,22.268563074352546,175.88878791256292,54.27055754198253,1.6492307692307686
2006-03-01,15.5,16.97,15.4,16.12,1.5699999999999985,15.725000000000001,14.312000000000001,14.040000000000001,110.33330857142857,115.07967272727274,0.5957601823200775,0.25616163667229147,55.970894850358995,22.268563074352546,175.88878791256292,54.27055754198253,1.6492307692307686
2006-04-01,16.2,20.95,16.02,20.08,4.93,18.1,15.73,14.991428571428571,110.33330857142857,115.07967272727274,1.0545945189200996,0.4158482131218531,55.970894850358995,22.268563074352546,175.88878791256292,54.27055754198253,1.6492307692307686
